Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
370,CB 20,027.2050,am,none,2,unlocked,off
371,CB 21 Regional,027.2150,am,none,2,unlocked,off
372,CB 22,027.2250,am,none,2,unlocked,off
373,CB 23,027.2550,am,none,2,unlocked,off
374,CB 24,027.2350,am,none,2,unlocked,off
375,CB 25,027.2450,am,none,2,unlocked,off
376,CB 26,027.2650,am,none,2,unlocked,off
377,CB 27,027.2750,am,none,2,unlocked,off
378,CB 28,027.2850,am,none,2,unlocked,off
379,CB 29,027.2950,am,none,2,unlocked,off
380,CB 30,027.3050,am,none,2,unlocked,off
381,CB 31,027.3150,am,none,2,unlocked,off
382,CB 32,027.3250,am,none,2,unlocked,off
383,CB 33,027.3350,am,none,2,unlocked,off
384,CB 34,027.3450,am,none,2,unlocked,off
385,CB 35,027.3550,am,none,2,unlocked,off
386,CB 36,027.3650,am,none,2,unlocked,off
387,CB 37,027.3750,am,none,2,unlocked,off
388,CB 38,027.3850,am,none,2,unlocked,off
389,CB 39,027.3950,am,none,2,unlocked,off
390,CB 40,027.4050,am,none,2,unlocked,off
391,,000.0000,auto,none,2,locked,off
392,,000.0000,auto,none,2,locked,off
393,,000.0000,auto,none,2,locked,off
394,,000.0000,auto,none,2,locked,off
395,,000.0000,auto,none,2,locked,off
396,,000.0000,auto,none,2,locked,off
397,,000.0000,auto,none,2,locked,off
398,,000.0000,auto,none,2,locked,off
399,,000.0000,auto,none,2,locked,off
400,,000.0000,auto,none,2,locked,on
401,ISS HAM Down,145.8000,fm,none,2,unlocked,off
402,AO-91 Down,145.9600,fm,none,2,unlocked,off
403,AO-92 Down,145.8800,fm,none,2,unlocked,off
404,SO-50 Down,436.7937,fm,none,2,unlocked,off
405,,000.0000,auto,none,2,locked,off
406,,000.0000,auto,none,2,locked,off
407,,000.0000,auto,none,2,locked,off
408,,000.0000,auto,none,2,locked,off
409,,000.0000,auto,none,2,locked,off
410,,000.0000,auto,none,2,locked,off
411,,000.0000,auto,none,2,locked,off
412,,000.0000,auto,none,2,locked,off
413,,000.0000,auto,none,2,locked,off
414,,000.0000,auto,none,2,locked,off
415,,000.0000,auto,none,2,locked,off
416,,000.0000,auto,none,2,locked,off
417,,000.0000,auto,none,2,locked,off
418,,000.0000,auto,none,2,locked,off
419,,000.0000,auto,none,2,locked,off
420,,000.0000,auto,none,2,locked,off
421,,000.0000,auto,none,2,locked,off
422,,000.0000,auto,none,2,locked,off
423,,000.0000,auto,none,2,locked,off
424,,000.0000,auto,none,2,locked,off
425,,000.0000,auto,none,2,locked,off
426,,000.0000,auto,none,2,locked,off
427,,000.0000,auto,none,2,locked,off
428,,000.0000,auto,none,2,locked,off
429,,000.0000,auto,none,2,locked,off
430,,000.0000,auto,none,2,locked,off
431,,000.0000,auto,none,2,locked,off
432,,000.0000,auto,none,2,locked,off
433,,000.0000,auto,none,2,locked,off
434,,000.0000,auto,none,2,locked,off
435,,000.0000,auto,none,2,locked,off
436,,000.0000,auto,none,2,locked,off
437,,000.0000,auto,none,2,locked,off
438,,000.0000,auto,none,2,locked,off
439,,000.0000,auto,none,2,locked,off
440,,000.0000,auto,none,2,locked,off
441,,000.0000,auto,none,2,locked,off
442,,000.0000,auto,none,2,locked,off
443,,000.0000,auto,none,2,locked,off
444,,000.0000,auto,none,2,locked,off
445,,000.0000,auto,none,2,locked,off
446,,000.0000,auto,none,2,locked,off
447,,000.0000,auto,none,2,locked,off
448,,000.0000,auto,none,2,locked,off
449,,000.0000,auto,none,2,locked,off
450,,000.0000,auto,none,2,locked,on
451,,000.0000,auto,none,2,locked,off
452,,000.0000,auto,none,2,locked,off
453,,000.0000,auto,none,2,locked,off
454,,000.0000,auto,none,2,locked,off
455,,000.0000,auto,none,2,locked,off
456,,000.0000,auto,none,2,locked,off
457,,000.0000,auto,none,2,locked,off
458,,000.0000,auto,none,2,locked,off
459,,000.0000,auto,none,2,locked,off
460,,000.0000,auto,none,2,locked,off
461,,000.0000,auto,none,2,locked,off
462,,000.0000,auto,none,2,locked,off
463,,000.0000,auto,none,2,locked,off
464,,000.0000,auto,none,2,locked,off
465,,000.0000,auto,none,2,locked,off
466,,000.0000,auto,none,2,locked,off
467,,000.0000,auto,none,2,locked,off
468,,000.0000,auto,none,2,locked,off
469,,000.0000,auto,none,2,locked,off
470,,000.0000,auto,none,2,locked,off
471,,000.0000,auto,none,2,locked,off
472,,000.0000,auto,none,2,locked,off
473,,000.0000,auto,none,2,locked,off
474,,000.0000,auto,none,2,locked,off
475,,000.0000,auto,none,2,locked,off
476,,000.0000,auto,none,2,locked,off
477,,000.0000,auto,none,2,locked,off
478,,000.0000,auto,none,2,locked,off
479,,000.0000,auto,none,2,locked,off
480,,000.0000,auto,none,2,locked,off
481,,000.0000,auto,none,2,locked,off
482,,000.0000,auto,none,2,locked,off
483,,000.0000,auto,none,2,locked,off
484,,000.0000,auto,none,2,locked,off
485,,000.0000,auto,none,2,locked,off
486,,000.0000,auto,none,2,locked,off
487,,000.0000,auto,none,2,locked,off
488,,000.0000,auto,none,2,locked,off
